Form,CSV column,Matched field label,Variable / Field Name,Field Type,Domain,Score,Matched
Apathy Evaluation Self,"14. When something good happens, I get excited. ",14 when something good happens i get excited,apathy_scale_14,radio,Mood / Psychiatric,1.0,Yes
Apathy Evaluation Self,15. I have an accurate understanding of my problems. ,15 i have an accurate understanding of my problems,apathy_scale_15,radio,Mood / Psychiatric,1.0,Yes
Apathy Evaluation Self,16. Getting things done during the day is important to me. ,16 getting things done during the day is important to me,apathy_scale_16,radio,Mood / Psychiatric,1.0,Yes
Apathy Evaluation Self,17. I have initiative. ,17 i have initiative,apathy_scale_17,radio,Mood / Psychiatric,1.0,Yes
Apathy Evaluation Self,18. I have motivation. ,18 i have motivation,apathy_scale_18,radio,Mood / Psychiatric,1.0,Yes
Apathy Evaluation Self,Apathy Scale Score,apathy scale score,as_scorev2,calc,Composite Scores,1.0,Yes
Apathy Scale,Questionnaire completed:     Questionnaire rempli:,questionnaire completed questionnaire rempli,date12,text,Admin,1.0,Yes
Apathy Scale,How is the questionnaire completed?     Comment le questionnaire est-il rempli?,how is the questionnaire completed comment le questionnaire est il rempli,method_questionnaire9,radio,Admin,1.0,Yes
Apathy Scale,1. Are you interested in learning new things?,1 are you interested in learning new things,as_1,radio,Mood / Psychiatric,1.0,Yes
Apathy Scale,2. Does anything interest you?,2 does anything interest you,as_2,radio,Mood / Psychiatric,1.0,Yes
Apathy Scale,3. Are you concerned about your condition?,3 are you concerned about your condition,as_3,radio,Mood / Psychiatric,1.0,Yes
Apathy Scale,4. Do you put much effort into things?,4 do you put much effort into things,as_4,radio,Mood / Psychiatric,1.0,Yes
Apathy Scale,5. Are you always looking for something to do?,5 are you always looking for something to do,as_5,radio,Mood / Psychiatric,1.0,Yes
Apathy Scale,6. Do you have plans and goals for the future?,6 do you have plans and goals for the future,as_6,radio,Mood / Psychiatric,1.0,Yes
Apathy Scale,7. Do you have motivation?,7 do you have motivation,as_7,radio,Mood / Psychiatric,1.0,Yes
Apathy Scale,8. Do you have the energy for daily activities?,8 do you have the energy for daily activities,as_8,radio,Mood / Psychiatric,1.0,Yes
Apathy Scale,9. Does someone have to tell you what to do each day?,9 does someone have to tell you what to do each day,as_9,radio,Mood / Psychiatric,1.0,Yes
Apathy Scale,10. Are you indifferent to things?,10 are you indifferent to things,as_10,radio,Mood / Psychiatric,1.0,Yes
Apathy Scale,11. Are you unconcerned with many things?,11 are you unconcerned with many things,as_11,radio,Mood / Psychiatric,1.0,Yes
Apathy Scale,12. Do you need a push to get started on things?,12 do you need a push to get started on things,as_12,radio,Mood / Psychiatric,1.0,Yes
Apathy Scale,"13. Are you neither happy nor sad, just in between?",13 are you neither happy nor sad just in between,as_13,radio,Mood / Psychiatric,1.0,Yes
Apathy Scale,14. Would you consider yourself apathetic?,14 would you consider yourself apathetic,as_14,radio,Mood / Psychiatric,1.0,Yes
Apathy Scale,Apathy Scale Score,apathy scale score,as_score,calc,Composite Scores,1.0,Yes
BAI,Tests completed:     Tests complétés:  ,tests completed tests complétés,date25,text,Admin,1.0,Yes
BAI,How were the test completed?     Comment les tests ont-ils été remplis?,how were the test completed comment les tests ont ils été remplis,method_questionnaire25,radio,Admin,1.0,Yes
BAI,1. Numbness or tingling/sensations d'engourdissement ou de picotement,1 numbness or tingling sensations d engourdissement ou de picotement,bai1,radio,Mood / Psychiatric,1.0,Yes
BAI,2. Feeling hot/bouffées de chaleur,2 feeling hot bouffées de chaleur,bai2,radio,Mood / Psychiatric,1.0,Yes
BAI,"3. Wobbliness in legs/'jambes molles', tremblements dans les jambes",3 wobbliness in legs jambes molles tremblements dans les jambes,bai3,radio,Mood / Psychiatric,1.0,Yes
BAI,4. Unable to relax/incapacité de se détendre,4 unable to relax incapacité de se détendre,bai4,radio,Mood / Psychiatric,1.0,Yes
BAI,5. Fear of the worst happening/crainte que le pire ne survienne,5 fear of the worst happening crainte que le pire ne survienne,bai5,radio,Mood / Psychiatric,1.0,Yes
BAI,"6. Dizzy or lightheaded/étourdissement ou vertige, désorientation",6 dizzy or lightheaded étourdissement ou vertige désorientation,bai6,radio,Mood / Psychiatric,1.0,Yes
BAI,7. Heart pounding or racing/battements cardiaques marqués,7 heart pounding or racing battements cardiaques marqués,bai7,radio,Mood / Psychiatric,1.0,Yes
BAI,"8. Unsteady/mal assuré(e), manque d'assurance dans mes mouvements",8 unsteady mal assuré e manque d assurance dans mes mouvements,bai8,radio,Mood / Psychiatric,1.0,Yes
BAI,9. Terrified/terrifié(e),9 terrified terrifié e,bai9,radio,Mood / Psychiatric,1.0,Yes
BAI,10. Nervous/nervosité,10 nervous nervosité,bai10,radio,Mood / Psychiatric,1.0,Yes
BAI,11. Feeling of choking/sensation d'étouffement,11 feeling of choking sensation d étouffement,bai11,radio,Mood / Psychiatric,1.0,Yes
BAI,12. Hands trembling/tremblement de mains,12 hands trembling tremblement de mains,bai12,radio,Mood / Psychiatric,1.0,Yes
BAI,"13. Shaky/tremblements, chancelant(e)",13 shaky tremblements chancelant e,bai13,radio,Mood / Psychiatric,1.0,Yes
BAI,14. Fear of losing control/crainte de perdre le contrôle,14 fear of losing control crainte de perdre le contrôle,bai14,radio,Mood / Psychiatric,1.0,Yes
BAI,15. Difficulty breathing/respiration difficile,15 difficulty breathing respiration difficile,bai15,radio,Mood / Psychiatric,1.0,Yes
BAI,16. Fear of dying/peur de mourir,16 fear of dying peur de mourir,bai16,radio,Mood / Psychiatric,1.0,Yes
BAI,"17. Scared/sensation de peur, 'avoir la frousse'",17 scared sensation de peur avoir la frousse,bai17,radio,Mood / Psychiatric,1.0,Yes
BAI,18. Indigestion or discomfort in abdomen/indigestion ou malaise abdominal,18 indigestion or discomfort in abdomen indigestion ou malaise abdominal,bai18,radio,Mood / Psychiatric,1.0,Yes
BAI,19. Faint/sensation de défaillance ou d'évanouissement,19 faint sensation de défaillance ou d évanouissement,bai19,radio,Mood / Psychiatric,1.0,Yes
BAI,20. Face flushed/rougissement du visage,20 face flushed rougissement du visage,bai20,radio,Mood / Psychiatric,1.0,Yes
BAI,21. Sweating (not due to heat)/transpiration (non associée à la chaleur),21 sweating not due to heat transpiration non associée à la chaleur,bai21,radio,Mood / Psychiatric,1.0,Yes
BAI,BAI Total Score,bai total score,bai_total_score,calc,Composite Scores,1.0,Yes
BAI,"BAI Classification:  If score = 0-7, select 'Minimal'  If score = 8-15, select '",bai classification if score 0 7 select minimal if score 8 15 select mild if score 16 25 select moderate if score 26 63 select severe,bai_class,radio,Composite Scores,1.0,Yes
BDII,Tests completed:     Tests complétés:  ,tests completed tests complétés,date10,text,Admin,1.0,Yes
BDII,How were the test completed?     Comment les tests ont-ils été remplis?,how were the test completed comment les tests ont ils été remplis,method_questionnaire8,radio,Admin,1.0,Yes
BDII,1. Sadness/Tristesse,1 sadness tristesse,bdsii_sad,radio,Mood / Psychiatric,1.0,Yes
BDII,2. Pessimism/Pessimisme,2 pessimism pessimisme,bdsii_pessimism,radio,Mood / Psychiatric,1.0,Yes
BDII,3. Past Failure/Échecs dans le passé,3 past failure échecs dans le passé,bdsii_past,radio,Mood / Psychiatric,1.0,Yes
BDII,4. Loss of Pleasure/Perte de plaisir,4 loss of pleasure perte de plaisir,bdsii_pleasure,radio,Mood / Psychiatric,1.0,Yes
BDII,5. Guilty Feelings/Sentiments de culpabilité,5 guilty feelings sentiments de culpabilité,bdsii_guilty,radio,Mood / Psychiatric,1.0,Yes
BDII,6. Punishment Feelings/Sentiment d'être puni(e),6 punishment feelings sentiment d être puni e,bdsii_punish,radio,Mood / Psychiatric,1.0,Yes
BDII,7. Self-Dislike/Sentiments négatifs envers soi-même,7 self dislike sentiments négatifs envers soi même,bdsii_dislike,radio,Mood / Psychiatric,1.0,Yes
BDII,8. Self-Criticalness/Attitude critique envers soi,8 self criticalness attitude critique envers soi,bdsii_crit,radio,Mood / Psychiatric,1.0,Yes
BDII,9. Suicidal Thoughts or Wishes/Pensées ou désirs de suicide,9 suicidal thoughts or wishes pensées ou désirs de suicide,bdsii_suicide,radio,Mood / Psychiatric,1.0,Yes
BDII,10. Crying/Pleurs,10 crying pleurs,bdsii_cry,radio,Mood / Psychiatric,1.0,Yes
BDII,11. Agitation,11 agitation,bdsii_agit,radio,Mood / Psychiatric,1.0,Yes
BDII,12. Loss of Interest/Perte d'intérêt,12 loss of interest perte d intérêt,bdsii_interest,radio,Mood / Psychiatric,1.0,Yes
BDII,13. Indecisiveness/Indécision,13 indecisiveness indécision,bdsii_indec,radio,Mood / Psychiatric,1.0,Yes
BDII,14. Worthlessness/Dévalorisation,14 worthlessness dévalorisation,bdsii_worth,radio,Mood / Psychiatric,1.0,Yes
BDII,15. Loss of Energy/Perte d'énergie,15 loss of energy perte d énergie,bdsii_energy,radio,Mood / Psychiatric,1.0,Yes
BDII,16. Changes in Sleeping Pattern/Modifications dans les habitudes de sommeil,16 changes in sleeping pattern modifications dans les habitudes de sommeil,bdsii_sleep,radio,Mood / Psychiatric,1.0,Yes
BDII,17. Irritability/Irritabilité,17 irritability irritabilité,bdsii_irrit,radio,Mood / Psychiatric,1.0,Yes
BDII,18. Changes in Appetite/Modifications de l'appétit,18 changes in appetite modifications de l appétit,bdsii_appetite,radio,Mood / Psychiatric,1.0,Yes
BDII,19. Concentration Difficulty/Difficulté à se concentrer,19 concentration difficulty difficulté à se concentrer,bdsii_concen,radio,Mood / Psychiatric,1.0,Yes
BDII,20. Tiredness or Fatigue,20 tiredness or fatigue,bdsii_fatigue,radio,Mood / Psychiatric,1.0,Yes
BDII,21. Loss of interest in Sex/Perte d'intérêt pour le sexe,21 loss of interest in sex perte d intérêt pour le sexe,bdsii_sex,radio,Mood / Psychiatric,1.0,Yes
BDII,BDI-II Total Score,bdi ii total score,bdsii_total_score,calc,Composite Scores,1.0,Yes
BDII,"Classification Instructions:  If score = 0-13, select 'Minimal'  If score = 14-1",classification instructions if score 0 13 select minimal if score 14 19 select mild if score 20 28 select moderate if score 29 63 select severe,bdsii_class,radio,Composite Scores,1.0,Yes
Clinical,"Determined diagnosis:  If score = 0, Parkinson's Disease (PD)  If score = 1, Pro",determined diagnosis if score 0 parkinson s disease pd if score 1 progressive supranuclear palsy psp if score 2 multiple system atrophy msa if score 3 corticobasal syndrome cbs if score 4 dementia with lewy bodies dlb if score 5 frontotemporal dementia ftd if score 6 essential tremor et if score 7 rem sleep behaviour disorder rbd,diagnosis_determined,calc,Admin,0.674,Yes
Clinical,Questionnaire completed by:    Questionnaire complété par:,questionnaire completed by questionnaire complété par,staff_name,text,Admin,1.0,Yes
Clinical,Questionnaire completed:     Questionnaire rempli:  ,questionnaire completed questionnaire rempli,date4,text,Admin,1.0,Yes
Clinical,Date Correlation :    Concordance avec la date :,date correlation concordance avec la date,date_cor1,text,Admin,1.0,Yes
Clinical,How is the questionnaire completed?     Comment le questionnaire est-il rempli?,how is the questionnaire completed comment le questionnaire est il rempli,method_questionnaire2,radio,Admin,1.0,Yes
Clinical,A. Weight of the participant (lbs):     A. Poids du participant (lbs):,a weight of the participant lbs a poids du participant lbs,qpn_poids,text,Admin,1.0,Yes
Clinical,Weight of the participant (kg):     Poids du participant (kg):,weight of the participant kg poids du participant kg,qpn_poids_2,text,Admin,1.0,Yes
Clinical,B. Height of the participant (ft):     B. Taille du participant (ft): ,b height of the participant ft b taille du participant ft,qpn_taille,text,Admin,1.0,Yes
Clinical,Height of the participant (cm):     Taille du participant (cm): ,height of the participant cm taille du participant cm,qpn_taille_2,text,Admin,1.0,Yes
Clinical,BMI,bmi,bmi,calc,Admin,1.0,Yes
Clinical,IMC,imc,imc,calc,Admin,1.0,Yes
Clinical,1. Was the patient diagnosed with Parkinson's disease?     1. Est-ce que le pati,1 was the patient diagnosed with parkinson s disease 1 est ce que le patient a reçu un diagnostic de maladie de parkinson,diagnosis_pd,radio,Clinical History / Diagnosis,1.0,Yes
Clinical,"1a. If 'No' or 'Uncertain', is the diagnosis....    1a. Si la réponse est > ou >",1a if no or uncertain is the diagnosis 1a si la réponse est non ou incertain le diagnostic est il,diagnosis_pdplus,radio,Clinical History / Diagnosis,0.889,Yes
Clinical,"If other, please specify:     Veuillez préciser si autre:",if other please specify veuillez préciser si autre,diagnosis_pdplus_other,text,Clinical History / Diagnosis,1.0,Yes
Clinical,"1b. If applicable, what is the level of certainty of the diagnosis?     1b. Si p",1b if applicable what is the level of certainty of the diagnosis 1b si possible quel est le niveau de certitude du diagnostic,diagnosis_probability,radio,Clinical History / Diagnosis,1.0,Yes
Clinical,1c. How was the diagnosis confirmed for C-OPN?    1c. Comment le diagnostic a-t-,1c how was the diagnosis confirmed for c opn 1c comment le diagnostic a t il été confirmé pour rpco,diagnosis_confirmation,radio,Clinical History / Diagnosis,1.0,Yes
Clinical,"If other, please specify:     Veuillez préciser si autre:2",if other please specify veuillez préciser si autre,diagnosis_pdplus_other,text,Clinical History / Diagnosis,0.889,Yes
Clinical,2. What is the date of diagnosis?    2. Quelle est la date de diagnostic? ,2 what is the date of diagnosis 2 quelle est la date de diagnostic,diagnosis_date,text,Clinical History / Diagnosis,1.0,Yes
Clinical,What is the current duration of disease? (years)    Quelle est la durée actuelle,what is the current duration of disease years quelle est la durée actuelle de la maladie years,duration_disease,calc,Clinical History / Diagnosis,1.0,Yes
Clinical,What is the duration of disease at the time the clinical questionnaire was compl,what is the duration of disease at the time the clinical questionnaire was completed years quelle est la durée actuelle de la maladie au moment où le questionnaire clinique a été rempli years,duration_disease_2,calc,Clinical History / Diagnosis,1.0,Yes
Clinical,What is the duration of disease at the time the covid questionnaire was complete,what is the duration of disease at the time the covid questionnaire was completed years quelle est la durée actuelle de la maladie au moment où le questionnaire covid a été rempli years,duration_disease_4,calc,Clinical History / Diagnosis,1.0,Yes
Clinical,What is the duration of disease at the time the blood draw was completed? (years,what is the duration of disease at the time the blood draw was completed years quelle est la durée actuelle de la maladie au moment au moment du prélèvement sanguin years,duration_disease_3,calc,Clinical History / Diagnosis,1.0,Yes
Clinical,What is the age at diagnosis? (years)    Quel est l'âge du diagnostic? (années),what is the age at diagnosis years quel est l âge du diagnostic années,age_onset,calc,Clinical History / Diagnosis,1.0,Yes
Clinical,**UBC and TOH ONLY**  What is the age at diagnosis? (years)    Quel est l'âge du,ubc and toh only what is the age at diagnosis years quel est l âge du diagnostic années,age_onset_4,text,Clinical History / Diagnosis,1.0,Yes
Clinical,3. Contact with a nurse specializing in parkinsonisms since the last clinical fo,3 contact with a nurse specializing in parkinsonisms since the last clinical follow up appointment 3 contact avec une infirmière spécialisée dans la parkinsonisme depuis le dernier rdv de suivi clinique,npf_nurse,radio,Clinical History / Diagnosis,1.0,Yes
Clinical,4. What were the first symptoms?    4. Quels étaient les premiers symptômes de l,4 what were the first symptoms 4 quels étaient les premiers symptômes de la maladie,first_symptoms,checkbox,Motor,1.0,Yes
Clinical,Please specify other symptoms:    Veuillez préciser quels autres symptômes : ,please specify other symptoms veuillez préciser quels autres symptômes,first_symptoms_other,text,Motor,1.0,Yes
Clinical,5. Date when the symptoms first appear:     5. Date d'apparition des premiers sy,5 date when the symptoms first appear 5 date d apparition des premiers symptômes,symptom_date,text,Clinical History / Diagnosis,1.0,Yes
Clinical,Current duration since symptoms first appear: (years)     Current durée depuis l,current duration since symptoms first appear years current durée depuis l apparition des premiers symptômes years,duration_first_symptoms,calc,Clinical History / Diagnosis,1.0,Yes
Clinical,Duration since symptoms first appear when the clinical questionnaire was complet,duration since symptoms first appear when the clinical questionnaire was completed years durée depuis l apparition des premiers symptômes lorsque le questionnaire clinique a été rempli years,duration_first_symptoms_2,calc,Clinical History / Diagnosis,1.0,Yes
Clinical,Duration since symptoms first appear when the blood draw was completed: (years) ,duration since symptoms first appear when the blood draw was completed years durée depuis l apparition des premiers symptômes au moment du prélèvement sanguin years,duration_first_symptoms_3,calc,Clinical History / Diagnosis,1.0,Yes
Clinical,What is the age at onset of disease? (years)    Quel est l'âge d'apparition de l,what is the age at onset of disease years quel est l âge d apparition de la maladie années,age_onset_2,calc,Clinical History / Diagnosis,1.0,Yes
Clinical,**UBC and TOH ONLY**  What is the age at onset of Parkinson's disease? (years)  ,ubc and toh only what is the age at onset of parkinson s disease years quel est l âge d apparition de la maladie de parkinson années,age_onset_3,text,Clinical History / Diagnosis,1.0,Yes
Clinical,6. What is your dominant hand?    6. Quelle est votre main dominante?,6 what is your dominant hand 6 quelle est votre main dominante,handedness,radio,Motor,1.0,Yes
Clinical,7. Are you a converted left-hander?    7. Êtes-vous gaucher contrarié?,7 are you a converted left hander 7 êtes vous gaucher contrarié,handedness_2,radio,Motor,1.0,Yes
Clinical,"8. When the symptoms began, did the symptoms present on one side or both sides o",8 when the symptoms began did the symptoms present on one side or both sides of your body 8 les symptômes sont ils apparus d un seul côté ou des deux côté de votre corps,symptom_asymmetry,radio,Motor,1.0,Yes
Clinical,9. What symptoms are currently present?    9. Quels sont les symptômes présents ,9 what symptoms are currently present 9 quels sont les symptômes présents actuellement,current_symptoms,checkbox,Motor,1.0,Yes
Clinical,Please specify other symptoms:    Veuillez préciser quels autres symptômes: ,please specify other symptoms veuillez préciser quels autres symptômes,first_symptoms_other,text,Motor,1.0,Yes
Clinical,10. Do the symptoms affect both sides of your body now?     10. Les symptômes af,10 do the symptoms affect both sides of your body now 10 les symptômes affectent ils désormais les deux côtés de votre corps,current_asymmetry,radio,Motor,1.0,Yes
Clinical,11. Does the development of motor symptoms progress gradually?     11. Le dévelo,11 does the development of motor symptoms progress gradually 11 le développement des symptômes moteurs évolue t il de manière progressive,qpn_symptoms_progress,radio,Motor,1.0,Yes
Clinical,12. Has there been almost complete remission since the onset of symptoms?    12.,12 has there been almost complete remission since the onset of symptoms 12 y a t il eu une rémission quasi complète depuis l apparition des premiers symptômes,qpn_symptoms_remission,radio,Motor,1.0,Yes
Clinical,"13. Do you currently have dyskinesia? (involuntary movements such as writhing, w",13 do you currently have dyskinesia involuntary movements such as writhing wriggling twisting head bobbing body swaying 13 le patient souffre t il actuellement de dyskinésies mouvement involontaire tels que gigotement torsion tordage mouvement de la tête et du corps,dyskinesias,radio,Motor,0.842,Yes
Clinical,13a. What impact do the dyskinesia have on your daily activities?    13a. Quel e,13a what impact do the dyskinesia have on your daily activities 13a quel est l impact des dyskinésies sur vos activités quotidiennes,impact_dyskinesias,radio,Motor,1.0,Yes
Clinical,"14. Do you experience freezing of gait?   (sudden, brief inability to start or c",14 do you experience freezing of gait sudden brief inability to start or continue rhythmic movements e g walking writing finger tapping 14 ressentez vous du blocage moteur incapacité soudaine et brève de commencer ou de continuer des mouvements rythmiques par ex marcher écrire taper du doigt,freezing,radio,Motor,0.818,Yes
Clinical,14a. What impact does the freezing of gait have on your daily activities?    14a,14a what impact does the freezing of gait have on your daily activities 14a quel est l impact du blocage moteur sur vos activités quotidiennes,freezing_sev,radio,Motor,1.0,Yes
Clinical,15. Have you fallen in the last 3 months?    15. Avez-vous fait des chutes dans ,15 have you fallen in the last 3 months 15 avez vous fait des chutes dans les trois derniers mois,fall_3mo,radio,Motor,1.0,Yes
Clinical,15a. How many times did you fall?    15a. Combien de fois avez-vous chuté?,15a how many times did you fall 15a combien de fois avez vous chuté,fall_freq,text,Motor,1.0,Yes
Clinical,16. Can you stand unaided?    16. Pouvez-vous vous tenir debout sans aide?,16 can you stand unaided 16 pouvez vous vous tenir debout sans aide,stand_unaided,radio,Motor,1.0,Yes
Clinical,17. Can you engage in activities outside of the home unaccompanied?    17. Pouve,17 can you engage in activities outside of the home unaccompanied 17 pouvez vous faire des activités à l extérieur de la maison sans accompagnement,activities_alone,radio,Activities of Daily Living,1.0,Yes
Clinical,18. Do you experience motor fluctuations? (On/Off periods)  Good effect from you,18 do you experience motor fluctuations on off periods good effect from your medications throughout your awake hours mean on time if you have some periods of wearing off low time bad time slow time or shaking time these low periods are off time 18 ressentez vous des fluctuations motrices période on off lorsque vos médicaments ont un bon effet pendant les heures éveillées nous appelons cela la période on si vous prenez vos médicaments mais vous avez encore quelques heures de baisse de régime de période mauvaise ralentie ou période de tremblement ces mauvaises périodes sont off,motor_fluct,radio,UNMATCHED,0.449,No
Clinical,18a. What impact do the motor fluctuations (On/Off periods) have on your daily a,18a what impact do the motor fluctuations on off periods have on your daily activities 18a quel impact ont les fluctuations motrices période on off sur vos activités quotidiennes,motor_fluc_impact,radio,Motor,1.0,Yes
Clinical,19. Was the patient ON or OFF during the study visit?    19. Le patient était-il,19 was the patient on or off during the study visit 19 le patient était il on ou off durant la visite d étude select not applicable if the questionnaire is not completed in person sélectionnez sans objet si le questionnaire n est pas rempli en personne,motor_visit_state,radio,Admin,0.947,Yes
Clinical,20. Do you think your medications are working well currently (significant reduct,20 do you think your medications are working well currently significant reduction in symptoms at the time of the study visit or during the call with the coordinator 20 pensez vous que vos médicaments fonctionnent bien présentement réduction significative des symptômes au moment de la visite d étude ou lors de l appel avec le coordinateur,motor_meds_visit,radio,Admin,0.654,Yes
Clinical,21. Hoehn & Yahr Rating Scale:    21. Échelle d'évaluation Hoehn & Yahr:,21 hoehn yahr rating scale 21 échelle d évaluation hoehn yahr,hoehn_yahr,radio,Clinical History / Diagnosis,1.0,Yes
Clinical,When was the Hoehn & Yahr evaluation completed?    Quand l'échelle d'évaluation ,when was the hoehn yahr evaluation completed quand l échelle d évaluation hoehn yahr a t il été fait,h_y_date,text,Admin,1.0,Yes
Clinical,What method did you use to estimate the Hoehn & Yahr Scale?     Quelle méthode a,what method did you use to estimate the hoehn yahr scale quelle méthode avez vous utilisée pour estimer l échelle hoehn yahr,hoehn_yahr_method,checkbox,Admin,1.0,Yes
Clinical,22. Does the patient have dementia?    22. Est-ce que le patient est atteint de ,22 does the patient have dementia 22 est ce que le patient est atteint de démence,diagnosis_dementia,radio,Cognitive Function,1.0,Yes
Clinical,22a. Date dementia was diagnosed:    22a. Date du diagnostic de démence:  ,22a date dementia was diagnosed 22a date du diagnostic de démence,dementia_date,text,Cognitive Function,1.0,Yes
Clinical,Current duration of dementia: (years)    Durée actuelle de la démence: (years),current duration of dementia years durée actuelle de la démence years,duration_dementia,calc,Cognitive Function,1.0,Yes
